Mois,Très bas,Bas,Modérément bas,Autour de la normale,Modérément haut,Haut,Très haut
Janvier 2023,1.6178176171099445,2.3844626604548758,4.090739321027698,41.296613001513634,11.582237424072654,8.299424033339232,30.728705942481966
Février 2023,7.948461237104428,10.203282113785749,18.51303704348583,59.115048099943415,2.450702999172942,0.7944108301049058,0.9750576764027337
Mars 2023,7.278822214816412,6.34176942228147,8.980415988708318,37.82517496226304,7.994354158906902,5.934014232224422,25.64544902079944
Avril 2023,3.133138185121631,2.281215302311497,4.839002725345716,42.7112142929242,13.582315534470576,10.519834460482487,22.933279499343897
Mai 2023,2.7254367561420363,1.9293739338444342,4.405795964785004,52.734260112546814,13.656594968726104,8.209642948177487,16.33889531577812
Juin 2023,2.0887516254876464,2.6434492847854356,6.237808842652796,62.90840377113134,9.673683355006501,5.364109232769831,11.08379388816645
Juillet 2023,2.253843572993349,2.816317669581006,7.010203477471433,69.65600268408691,8.399613175709012,3.93929226943496,5.924727150723322
Août 2023,2.2008143807726683,2.28821134174198,5.206078061376502,64.87238057403914,9.164763134372828,4.568477505214023,11.69927500248287
Septembre 2023,3.7487397897249144,3.6170606752669587,8.19496738884431,63.68331172972862,7.569491595169023,4.098512437503858,9.08791638376232
Octobre 2023,9.203476604357661,6.08604198912569,10.507203238480772,52.66301543834584,5.1970472675318495,2.9527324681509706,13.390482994007222
Novembre 2023,0.7285276073619631,0.4944300936390055,1.5337423312883436,28.168388763319342,6.2096383597029385,6.8917500807232805,55.97352276396512
Décembre 2023,1.0294031796688008,0.6304851232754092,1.4224834108466793,20.695090388993755,6.6629045126388915,8.937710404950476,60.621922979625985
